Competition,Matchday,Venue,Team,Opponent,Opponent_Position,Result,Position,Minute,At_Score,Type_of_Goal
86',4:0,Left-footed shot,,,,,,,,
LaLiga,18,A,FC Barcelona,(1.),Deportivo de La Coruña,Dep. La Coruña  (12.),0:4,CF,51',0:2
Copa del Rey,Viertelfinale,H,FC Barcelona,Real Betis Balompié,Real Betis,5:0,CF,44',1:0,Left-footed shot
63',2:0,Left-footed shot,,,,,,,,
73',3:0,Left-footed shot,,,,,,,,
Copa del Rey,Viertelfinale,A,FC Barcelona,Real Betis Balompié,Real Betis,3:1,RW,37',2:1,Left-footed shot
LaLiga,20,H,FC Barcelona,(1.),Racing Santander,Racing  (14.),3:0,CF,33',2:0
Copa del Rey,Halbfinale,H,FC Barcelona,UD Almería,UD Almería,5:0,CF,9',1:0,Left-footed shot
15',3:0,Left-footed shot,,,,,,,,
LaLiga,21,A,FC Barcelona,(1.),Hércules CF,Hércules CF  (12.),0:3,CF,87',0:2
89',0:3,Left-footed shot,,,,,,,,
LaLiga,22,H,FC Barcelona,(1.),Atlético de Madrid,Atlético Madrid  (8.),3:0,CF,16',1:0
28',2:0,Left-footed shot,,,,,,,,
78',3:0,Left-footed shot,,,,,,,,
LaLiga,24,H,FC Barcelona,(1.),Athletic Bilbao,Athletic  (5.),2:1,CF,78',2:1
LaLiga,25,A,FC Barcelona,(1.),RCD Mallorca,RCD Mallorca  (11.),0:3,CF,38',0:1
LaLiga,26,A,FC Barcelona,(1.),Valencia CF,Valencia  (3.),0:1,CF,77',0:1
UEFA Champions League,Achtelfinale,H,FC Barcelona,Arsenal FC,Arsenal,3:1,CF,49',1:0,Left-footed shot
72',3:1,Penalty,,,,,,,,
LaLiga,31,H,FC Barcelona,(1.),UD Almería,UD Almería  (20.),3:1,CF,52',1:1
90'+1,3:1,Left-footed shot,,,,,,,,
UEFA Champions League,Viertelfinale,A,FC Barcelona,Shakhtar Donetsk,Shakhtar D.,0:1,CF,42',0:1,Left-footed shot
LaLiga,32,A,FC Barcelona,(1.),Real Madrid,Real Madrid  (2.),1:1,CF,53',0:1
LaLiga,33,H,FC Barcelona,(1.),CA Osasuna,CA Osasuna  (16.),2:0,CF,87',2:0
UEFA Champions League,Halbfinale,A,FC Barcelona,Real Madrid,Real Madrid,0:2,CF,76',0:1,Left-footed shot
87',0:2,Solo run,,,,,,,,
UEFA Champions League,Finale,H,FC Barcelona,Manchester United,Man Utd,3:1,CF,54',2:1,Left-footed shot
Season 11/12,,,,,,,,,,
Supercopa,Finale,A,FC Barcelona,Real Madrid,Real Madrid,2:2,CF,45',1:2,Left-footed shot
Supercopa,Finale,H,FC Barcelona,Real Madrid,Real Madrid,3:2,CF,44',2:1,Right-footed shot
88',3:2,Left-footed shot,,,,,,,,
UEFA Super Cup,Finale,H,FC Barcelona,FC Porto,FC Porto,2:0,CF,39',1:0,Left-footed shot
LaLiga,2,H,FC Barcelona,(2.),Villarreal CF,Villarreal  (5.),5:0,CF,51',4:0
74',5:0,Left-footed shot,,,,,,,,
LaLiga,4,H,FC Barcelona,(2.),CA Osasuna,CA Osasuna  (8.),8:0,CF,5',1:0
41',5:0,Left-footed shot,,,,,,,,
79',8:0,Left-footed shot,,,,,,,,
LaLiga,6,H,FC Barcelona,(2.),Atlético de Madrid,Atlético Madrid  (4.),5:0,CF,26',3:0
78',4:0,Left-footed shot,,,,,,,,
90'+1,5:0,Left-footed shot,,,,,,,,
UEFA Champions League,Gruppenphase,A,FC Barcelona,BATE Borisov,BATE Borisov,0:5,CF,38',0:3,Header
56',0:4,Left-footed shot,,,,,,,,
LaLiga,8,H,FC Barcelona,(1.),Racing Santander,Racing  (18.),3:0,CF,11',1:0
69',3:0,Right-footed shot,,,,,,,,
LaLiga,11,H,FC Barcelona,(2.),RCD Mallorca,RCD Mallorca  (11.),5:0,CF,13',1:0
21',2:0,Right-footed shot,,,,,,,,
30',3:0,Left-footed shot,,,,,,,,
UEFA Champions League,Gruppenphase,A,FC Barcelona,FC Viktoria Plzen,Viktoria Plzen,0:4,CF,24',0:1,Penalty
45'+2,0:2,Left-footed shot,,,,,,,,
90'+2,0:4,Left-footed shot,,,,,,,,
LaLiga,12,A,FC Barcelona,(2.),Athletic Bilbao,Athletic  (11.),2:2,CF,90',2:2
LaLiga,13,H,FC Barcelona,(2.),Real Zaragoza,Real Zaragoza  (16.),4:0,CF,43',2:0
UEFA Champions League,Gruppenphase,A,FC Barcelona,AC Milan,AC Milan,2:3,CF,31',1:2,Penalty
